trial_id,fix,ques,answ,cor,nasa_ques,nasa_tre,calib_loop.thisRepN,calib_loop.thisTrialN,calib_loop.thisN,calib_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,nasa_trials.thisRepN,nasa_trials.thisTrialN,nasa_trials.thisN,nasa_trials.thisIndex,valid_keybrd.started,calib_resp.started,calib_resp.keys,calib_resp.rt,title_resp.keys,title_resp.rt,text.started,key_resp.keys,key_resp.rt,img_ques.started,key_resp_2.keys,key_resp_2.rt,key_resp_ans.keys,key_resp_ans.corr,key_resp_ans.rt,nasa_slider.response,end_img.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,participant,gender,profession,session,date,expName,psychopyVersion,frameRate,
,,,,,,,0,0,0,0,,,,,,,,,64.28417780000018,94.01159420000113,['n'],[6.606911499999114],,,,,,,,,,,,,,,,,570014,,,001,2023-02-04_01h54.57.681,eth_ws_team_p04,2022.2.5,143.8497058237837,
,,,,,,,,,,,,,,,,,,,,,,,space,15.263653099998919,,,,,,,,,,,,,,,570014,,,001,2023-02-04_01h54.57.681,eth_ws_team_p04,2022.2.5,143.8497058237837,
,,,,,,,,,,,,,,,,,,,,,,,,,115.90397719999964,space,2.660823399999572,,,,,,,,,,,,570014,,,001,2023-02-04_01h54.57.681,eth_ws_team_p04,2022.2.5,143.8497058237837,
ts01,tsf01.jpeg,tsq01.jpeg,tsa01.jpeg,c,,,,,,,0,0,0,0,,,,,,,,,,,,,,119.57146670000111,space,6.263286699999298,c,1,7.10228669999924,,,,,,570014,,,001,2023-02-04_01h54.57.681,eth_ws_team_p04,2022.2.5,143.8497058237837,
ts02,tsf02.jpeg,tsq02.jpeg,tsa02.jpeg,b,,,,,,,0,1,1,1,,,,,,,,,,,,,,134.44835740000053,space,1.846117699999013,c,0,0.925184799998533,,,,,,570014,,,001,2023-02-04_01h54.57.681,eth_ws_team_p04,2022.2.5,143.8497058237837,
ts03,tsf03.jpeg,tsq03.jpeg,tsa03.jpeg,b,,,,,,,0,2,2,2,,,,,,,,,,,,,,138.7389791000005,space,1.1790418999989924,a,0,0.8922688999991806,,,,,,570014,,,001,2023-02-04_01h54.57.681,eth_ws_team_p04,2022.2.5,143.8497058237837,
,,,,,::: MENTAL DEMAND :::,Was the task mentally demanding?,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,8.0,,,,,570014,,,001,2023-02-04_01h54.57.681,eth_ws_team_p04,2022.2.5,143.8497058237837,
,,,,,::: FRUSTRATION :::,"Were you insecure, discouraged, irritated, stressed, and annoyed?",,,,,,,,,0,1,1,5,,,,,,,,,,,,,,,,8.0,,,,,570014,,,001,2023-02-04_01h54.57.681,eth_ws_team_p04,2022.2.5,143.8497058237837,
,,,,,::: PERFORMANCE :::,Were you successful in accomplishing what you were asked to do?,,,,,,,,,0,2,2,3,,,,,,,,,,,,,,,,10.0,,,,,570014,,,001,2023-02-04_01h54.57.681,eth_ws_team_p04,2022.2.5,143.8497058237837,
,,,,,::: PHYSICAL DEMAND :::,Was the task physically demanding?,,,,,,,,,0,3,3,1,,,,,,,,,,,,,,,,10.0,,,,,570014,,,001,2023-02-04_01h54.57.681,eth_ws_team_p04,2022.2.5,143.8497058237837,
,,,,,::: EFFORT :::,Did you have to work hard to accomplish your level of performance?,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,10.0,,,,,570014,,,001,2023-02-04_01h54.57.681,eth_ws_team_p04,2022.2.5,143.8497058237837,
,,,,,::: TEMPORAL DEMAND :::,Were you hurried or rushed to pace of the task?,,,,,,,,,0,5,5,2,,,,,,,,,,,,,,,,10.0,,,,,570014,,,001,2023-02-04_01h54.57.681,eth_ws_team_p04,2022.2.5,143.8497058237837,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.93608529999983,149.93608529999983,space,0.7994271999996272,570014,,,001,2023-02-04_01h54.57.681,eth_ws_team_p04,2022.2.5,143.8497058237837,
