trial_id,fix,ques,answ,cor,nasa_ques,nasa_tre,calib_loop.thisRepN,calib_loop.thisTrialN,calib_loop.thisN,calib_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,nasa_trials.thisRepN,nasa_trials.thisTrialN,nasa_trials.thisN,nasa_trials.thisIndex,valid_keybrd.started,calib_resp.started,calib_resp.keys,calib_resp.rt,title_resp.keys,title_resp.rt,text.started,key_resp.keys,key_resp.rt,img_ques.started,key_resp_2.keys,key_resp_2.rt,key_resp_ans.keys,key_resp_ans.corr,key_resp_ans.rt,nasa_slider.response,end_img.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,participant,gender,profession,session,date,expName,psychopyVersion,frameRate,
,,,,,,,0,0,0,0,,,,,,,,,54.707050099998014,77.76461080000445,['n'],[2.9411047999892617],,,,,,,,,,,,,,,,,P10,female,phd,001,2023-01-12_16h38.57.725,eth_ws_team_p04,2022.2.5,143.8610877076173,
,,,,,,,,,,,,,,,,,,,,,,,space,8.453730499997619,,,,,,,,,,,,,,,P10,female,phd,001,2023-01-12_16h38.57.725,eth_ws_team_p04,2022.2.5,143.8610877076173,
,,,,,,,,,,,,,,,,,,,,,,,,,89.17908650000754,space,9.40035209999769,,,,,,,,,,,,P10,female,phd,001,2023-01-12_16h38.57.725,eth_ws_team_p04,2022.2.5,143.8610877076173,
ts01,tsf01.jpeg,tsq01.jpeg,tsa01.jpeg,c,,,,,,,0,0,0,0,,,,,,,,,,,,,,99.58738230000017,space,13.334143599990057,a,0,11.087592999989283,,,,,,P10,female,phd,001,2023-01-12_16h38.57.725,eth_ws_team_p04,2022.2.5,143.8610877076173,
ts02,tsf02.jpeg,tsq02.jpeg,tsa02.jpeg,b,,,,,,,0,1,1,1,,,,,,,,,,,,,,125.52415530000872,space,2.595622300010291,b,1,4.265545500005828,,,,,,P10,female,phd,001,2023-01-12_16h38.57.725,eth_ws_team_p04,2022.2.5,143.8610877076173,
ts03,tsf03.jpeg,tsq03.jpeg,tsa03.jpeg,b,,,,,,,0,2,2,2,,,,,,,,,,,,,,133.90745560001233,space,1.8453027999930782,b,1,2.49704699999711,,,,,,P10,female,phd,001,2023-01-12_16h38.57.725,eth_ws_team_p04,2022.2.5,143.8610877076173,
,,,,,::: TEMPORAL DEMAND :::,Were you hurried or rushed to pace of the task?,,,,,,,,,0,0,0,2,,,,,,,,,,,,,,,,4.0,,,,,P10,female,phd,001,2023-01-12_16h38.57.725,eth_ws_team_p04,2022.2.5,143.8610877076173,
,,,,,::: FRUSTRATION :::,"Were you insecure, discouraged, irritated, stressed, and annoyed?",,,,,,,,,0,1,1,5,,,,,,,,,,,,,,,,6.0,,,,,P10,female,phd,001,2023-01-12_16h38.57.725,eth_ws_team_p04,2022.2.5,143.8610877076173,
,,,,,::: PHYSICAL DEMAND :::,Was the task physically demanding?,,,,,,,,,0,2,2,1,,,,,,,,,,,,,,,,10.0,,,,,P10,female,phd,001,2023-01-12_16h38.57.725,eth_ws_team_p04,2022.2.5,143.8610877076173,
,,,,,::: EFFORT :::,Did you have to work hard to accomplish your level of performance?,,,,,,,,,0,3,3,4,,,,,,,,,,,,,,,,7.0,,,,,P10,female,phd,001,2023-01-12_16h38.57.725,eth_ws_team_p04,2022.2.5,143.8610877076173,
,,,,,::: PERFORMANCE :::,Were you successful in accomplishing what you were asked to do?,,,,,,,,,0,4,4,3,,,,,,,,,,,,,,,,20.0,,,,,P10,female,phd,001,2023-01-12_16h38.57.725,eth_ws_team_p04,2022.2.5,143.8610877076173,
,,,,,::: MENTAL DEMAND :::,Was the task mentally demanding?,,,,,,,,,0,5,5,0,,,,,,,,,,,,,,,,14.0,,,,,P10,female,phd,001,2023-01-12_16h38.57.725,eth_ws_team_p04,2022.2.5,143.8610877076173,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.6730937000102,180.6730937000102,space,1.866734199997154,P10,female,phd,001,2023-01-12_16h38.57.725,eth_ws_team_p04,2022.2.5,143.8610877076173,
