trial_id,fix,ques,answ,cor,nasa_ques,nasa_tre,calib_loop.thisRepN,calib_loop.thisTrialN,calib_loop.thisN,calib_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,nasa_trials.thisRepN,nasa_trials.thisTrialN,nasa_trials.thisN,nasa_trials.thisIndex,valid_keybrd.started,calib_resp.started,calib_resp.keys,calib_resp.rt,title_resp.keys,title_resp.rt,text.started,key_resp.keys,key_resp.rt,img_ques.started,key_resp_2.keys,key_resp_2.rt,key_resp_ans.keys,key_resp_ans.corr,key_resp_ans.rt,nasa_slider.response,end_img.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,participant,gender,profession,session,date,expName,psychopyVersion,frameRate,
,,,,,,,0,0,0,0,,,,,,,,,96.76719440000306,122.64186980000522,['y'],[4.654772900001262],,,,,,,,,,,,,,,,,P13,male,economist,001,2023-01-12_16h54.43.823,eth_ws_team_p04,2022.2.5,143.91802430916286,
,,,,,,,1,0,1,0,,,,,,,,,144.77352420000534,168.92041250001057,['n'],[7.275151699999697],,,,,,,,,,,,,,,,,P13,male,economist,001,2023-01-12_16h54.43.823,eth_ws_team_p04,2022.2.5,143.91802430916286,
,,,,,,,,,,,,,,,,,,,,,,,space,14.340556500013918,,,,,,,,,,,,,,,P13,male,economist,001,2023-01-12_16h54.43.823,eth_ws_team_p04,2022.2.5,143.91802430916286,
,,,,,,,,,,,,,,,,,,,,,,,,,190.55467430000135,space,16.606399500000407,,,,,,,,,,,,P13,male,economist,001,2023-01-12_16h54.43.823,eth_ws_team_p04,2022.2.5,143.91802430916286,
ts03,tsf03.jpeg,tsq03.jpeg,tsa03.jpeg,b,,,,,,,0,0,0,2,,,,,,,,,,,,,,208.1690113000077,space,10.779882500006352,a,0,5.782445599994389,,,,,,P13,male,economist,001,2023-01-12_16h54.43.823,eth_ws_team_p04,2022.2.5,143.91802430916286,
ts02,tsf02.jpeg,tsq02.jpeg,tsa02.jpeg,b,,,,,,,0,1,1,1,,,,,,,,,,,,,,226.25654499999655,space,7.812523300002795,b,1,1.5877895000012359,,,,,,P13,male,economist,001,2023-01-12_16h54.43.823,eth_ws_team_p04,2022.2.5,143.91802430916286,
ts01,tsf01.jpeg,tsq01.jpeg,tsa01.jpeg,c,,,,,,,0,2,2,0,,,,,,,,,,,,,,237.1741955000034,space,15.133761500008404,c,1,2.2602879000041867,,,,,,P13,male,economist,001,2023-01-12_16h54.43.823,eth_ws_team_p04,2022.2.5,143.91802430916286,
,,,,,::: PHYSICAL DEMAND :::,Was the task physically demanding?,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,6.0,,,,,P13,male,economist,001,2023-01-12_16h54.43.823,eth_ws_team_p04,2022.2.5,143.91802430916286,
,,,,,::: FRUSTRATION :::,"Were you insecure, discouraged, irritated, stressed, and annoyed?",,,,,,,,,0,1,1,5,,,,,,,,,,,,,,,,7.0,,,,,P13,male,economist,001,2023-01-12_16h54.43.823,eth_ws_team_p04,2022.2.5,143.91802430916286,
,,,,,::: EFFORT :::,Did you have to work hard to accomplish your level of performance?,,,,,,,,,0,2,2,4,,,,,,,,,,,,,,,,18.0,,,,,P13,male,economist,001,2023-01-12_16h54.43.823,eth_ws_team_p04,2022.2.5,143.91802430916286,
,,,,,::: MENTAL DEMAND :::,Was the task mentally demanding?,,,,,,,,,0,3,3,0,,,,,,,,,,,,,,,,19.0,,,,,P13,male,economist,001,2023-01-12_16h54.43.823,eth_ws_team_p04,2022.2.5,143.91802430916286,
,,,,,::: PERFORMANCE :::,Were you successful in accomplishing what you were asked to do?,,,,,,,,,0,4,4,3,,,,,,,,,,,,,,,,14.0,,,,,P13,male,economist,001,2023-01-12_16h54.43.823,eth_ws_team_p04,2022.2.5,143.91802430916286,
,,,,,::: TEMPORAL DEMAND :::,Were you hurried or rushed to pace of the task?,,,,,,,,,0,5,5,2,,,,,,,,,,,,,,,,7.0,,,,,P13,male,economist,001,2023-01-12_16h54.43.823,eth_ws_team_p04,2022.2.5,143.91802430916286,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281.63810840000224,281.63810840000224,space,4.53228699999454,P13,male,economist,001,2023-01-12_16h54.43.823,eth_ws_team_p04,2022.2.5,143.91802430916286,
