subj,exp_id,ses_id,stim,timestamp,K
P01,1,1,tsa01,0.049342,-0.853478
P01,1,1,tsa01,0.427065,-0.409436
P01,1,1,tsa01,1.084320,-2.190833
P01,1,1,tsa01,1.396268,-1.541717
P01,1,1,tsa01,1.774244,-1.772315
P01,1,1,tsa01,2.398384,0.520991
P01,1,1,tsa01,3.104797,3.411373
P01,1,1,tsa01,6.341142,2.859823
P01,1,1,tsa01,8.263357,-0.033001
P01,1,1,tsa01,9.019046,0.490046
P01,1,1,tsa01,9.396879,0.490046
P01,1,1,tsa02,0.032875,0.719072
P01,1,1,tsa02,0.230077,1.116981
P01,1,1,tsa02,0.772194,0.550135
P01,1,1,tsa02,1.347159,-1.385336
P01,1,1,tsa02,1.807100,0.646959
P01,1,1,tsa02,2.431456,0.099841
P01,1,1,tsa02,3.055676,0.099841
P01,1,1,tsa03,0.049249,1.969219
P01,1,1,tsa03,0.525849,-1.926264
P01,1,1,tsa03,0.690152,-1.365894
P01,1,1,tsa03,0.919969,-1.365894
P01,1,1,tsq01,0.032870,3.161462
P01,1,1,tsq01,1.675723,-1.469747
P01,1,1,tsq01,1.889284,1.234356
P01,1,1,tsq01,2.792941,-0.545556
P01,1,1,tsq01,3.696321,-1.564717
P01,1,1,tsq01,4.123526,-1.377673
P01,1,1,tsq01,4.435600,3.002117
P01,1,1,tsq01,6.226389,-1.109139
P01,1,1,tsq01,6.998467,1.173093
P01,1,1,tsq01,8.033356,2.310252
P01,1,1,tsq01,9.232798,-1.402916
P01,1,1,tsq01,9.594204,1.001606
P01,1,1,tsq01,10.661934,-1.129676
P01,1,1,tsq01,10.859121,-1.600196
P01,1,1,tsq01,11.417742,-0.317353
P01,1,1,tsq01,12.288342,-0.788899
P01,1,1,tsq01,13.241119,0.819900
P01,1,1,tsq01,13.307025,0.819900
P01,1,1,tsq02,0.016351,3.975373
P01,1,1,tsq02,1.396339,0.732245
P01,1,1,tsq02,2.217848,0.726444
P01,1,1,tsq02,3.137766,0.508005
P01,1,1,tsq02,3.647064,-0.509202
P01,1,1,tsq02,4.074248,-0.263067
P01,1,1,tsq02,4.682087,-1.263437
P01,1,1,tsq02,5.372058,-2.098717
P01,1,1,tsq02,5.914162,-0.252292
P01,1,1,tsq02,6.292043,-0.252292
P01,1,1,tsq03,0.032962,-0.979370
P01,1,1,tsq03,0.197212,1.024162
P01,1,1,tsq03,1.002193,0.104180
P01,1,1,tsq03,1.396541,0.889324
P01,1,1,tsq03,1.725031,-1.458563
P01,1,1,tsq03,2.267193,1.498378
P01,1,1,tsq03,2.759995,0.426602
P01,1,1,tsq03,3.072168,-0.758676
P01,1,1,tsq03,3.367835,-1.810909
P01,1,1,tsq03,3.548632,-1.810909
P02,1,1,tsa01,0.049353,1.957156
P02,1,1,tsa01,2.677855,0.678590
P02,1,1,tsa01,7.934851,-1.312073
P02,1,1,tsa01,8.460601,-0.523054
P02,1,1,tsa01,8.706977,-0.523054
P02,1,1,tsa02,0.032878,0.000000
P02,1,1,tsa02,0.492962,0.000000
P02,1,1,tsa03,0.049386,-0.058867
P02,1,1,tsa03,0.673537,0.784187
P02,1,1,tsa03,1.018520,0.803769
P02,1,1,tsa03,3.367767,-0.519253
