x,y,d,t
0.479500,0.497785,5.110000,109.206237
0.481665,0.507245,5.100000,109.222562
0.461235,0.492970,5.010000,109.239070
0.456560,0.427110,4.960000,109.255490
0.452355,0.387990,4.960000,109.271959
0.440640,0.380270,4.865000,109.288312
0.439050,0.386585,4.835000,109.304840
0.439050,0.386585,4.830000,109.321189
0.452800,0.399755,4.745000,109.337665
0.427440,0.391090,4.760000,109.354033
0.427810,0.401730,4.740000,109.370468
0.441695,0.472135,4.655000,109.386860
0.465400,0.432020,4.650000,109.403314
0.468735,0.451785,4.620000,109.419788
0.457525,0.478935,4.540000,109.436186
0.452680,0.497760,4.535000,109.452626
0.450310,0.478685,4.540000,109.469164
0.471030,0.439000,4.535000,109.485567
0.401375,0.447615,4.570000,109.502093
0.401490,0.452960,4.585000,109.518443
0.385560,0.413680,4.540000,109.534820
0.381845,0.459885,4.555000,109.551112
0.383585,0.464945,4.560000,109.567603
0.372170,0.472015,4.525000,109.584077
0.361265,0.418030,4.555000,109.600413
0.356855,0.397145,4.555000,109.616892
0.351835,0.389750,4.545000,109.633329
0.348135,0.379530,4.550000,109.649783
0.350310,0.389680,4.540000,109.666191
0.348955,0.440705,4.585000,109.682624
0.215560,0.541580,4.700000,109.699043
0.217335,0.546745,4.695000,109.715482
0.137935,0.529880,4.675000,109.731932
0.129615,0.569255,4.665000,109.748347
0.128020,0.565120,4.700000,109.765150
0.169660,0.503650,4.725000,109.781188
0.155845,0.574310,4.785000,109.797661
0.157605,0.578310,4.800000,109.814016
0.199515,0.551470,4.800000,109.830482
0.203535,0.558525,4.870000,109.846917
0.206390,0.562735,4.880000,109.863289
0.164925,0.549115,4.890000,109.879760
0.189760,0.388145,4.970000,109.896189
0.187055,0.383050,4.985000,109.912718
0.188945,0.438135,5.025000,109.929084
0.183660,0.421995,5.015000,109.945491
0.186230,0.426975,5.050000,109.961870
0.168445,0.388050,5.035000,109.978266
0.177600,0.355835,5.105000,109.994826
0.174870,0.350775,5.100000,110.011196
0.190525,0.396485,5.085000,110.027598
