x,y,d,t
0.495930,0.525995,3.485000,133.922153
0.496055,0.520410,3.545000,133.938517
0.492735,0.506645,3.475000,133.954912
0.492085,0.468210,3.610000,133.971429
0.491765,0.456735,3.580000,133.987715
0.527850,0.363785,3.485000,134.004172
0.518340,0.397335,3.520000,134.020689
0.518340,0.397335,3.540000,134.037037
0.508040,0.401335,3.485000,134.053569
0.484970,0.465850,3.505000,134.069912
0.484095,0.468020,3.605000,134.086311
0.491670,0.474165,3.560000,134.102742
0.526020,0.512940,3.570000,134.119202
0.526680,0.532130,3.590000,134.135670
0.499400,0.449080,3.490000,134.152092
0.512620,0.420265,3.530000,134.168623
0.511930,0.404290,3.625000,134.184887
0.525385,0.512545,3.535000,134.201335
0.542045,0.470970,3.520000,134.217697
0.541980,0.473110,3.475000,134.234235
0.535210,0.463045,3.485000,134.250618
0.545135,0.455520,3.470000,134.267050
0.545135,0.455520,3.505000,134.283464
0.548455,0.481045,3.470000,134.299968
0.528505,0.491895,3.540000,134.316420
0.528505,0.491895,3.570000,134.332713
0.507500,0.488730,3.525000,134.349298
0.510685,0.495980,3.575000,134.365615
0.510685,0.495980,3.675000,134.382064
0.592560,0.369575,3.615000,134.398489
0.616020,0.252640,3.645000,134.414927
0.614840,0.259275,3.815000,134.431310
0.550750,0.082870,3.810000,134.447737
0.540610,0.130485,3.930000,134.464399
0.540975,0.136790,3.900000,134.480634
0.551485,0.130185,3.850000,134.497070
0.557625,0.132160,3.820000,134.513520
0.558020,0.118730,3.855000,134.529842
0.557390,0.041545,3.985000,134.546376
0.529100,0.053555,3.925000,134.562787
0.529120,0.066940,3.960000,134.579233
0.548400,0.036895,3.960000,134.595577
0.540200,0.089370,3.975000,134.612008
0.540200,0.089370,4.030000,134.628469
0.507805,0.099685,3.990000,134.644916
0.375860,0.154925,3.850000,134.661369
0.376400,0.161365,3.890000,134.677820
0.305050,0.219815,3.840000,134.694234
0.326495,0.252715,3.950000,134.710693
0.329865,0.270500,3.945000,134.727047
0.331410,0.259250,3.950000,134.743447
0.336350,0.230340,3.870000,134.759889
0.334185,0.217960,3.860000,134.776387
0.338540,0.168090,3.925000,134.792718
0.333390,0.198065,3.900000,134.809232
0.334370,0.204475,3.910000,134.825662
0.349090,0.206685,3.860000,134.841996
0.325670,0.240420,3.955000,134.858455
0.326865,0.246680,3.940000,134.875007
0.329500,0.268685,3.840000,134.891326
0.381330,0.352645,3.980000,134.907811
0.379650,0.341395,3.855000,134.924197
0.443515,0.509305,3.820000,134.940667
0.464070,0.510265,3.795000,134.957077
0.463525,0.500765,3.725000,134.973471
0.418595,0.450695,3.725000,134.989838
0.435530,0.456970,3.740000,135.006355
0.434650,0.447345,3.735000,135.022812
0.435775,0.458890,3.725000,135.039146
0.432035,0.434475,3.765000,135.055613
0.432035,0.434475,3.745000,135.072036
0.424575,0.411920,3.705000,135.088456
0.444335,0.410265,3.765000,135.104942
0.444335,0.410265,3.775000,135.121333
0.447695,0.526160,3.710000,135.137773
0.433850,0.557885,3.720000,135.154307
0.433850,0.557885,3.770000,135.170714
0.461580,0.532340,3.725000,135.187046
0.624285,0.501320,4.145000,135.203639
0.623265,0.506670,3.910000,135.219862
0.689995,0.547645,3.820000,135.236309
0.701945,0.584805,3.830000,135.252709
0.701620,0.591785,3.885000,135.269197
0.693740,0.602315,3.855000,135.285637
0.694340,0.530225,3.865000,135.302051
0.698690,0.508665,3.905000,135.318439
0.704455,0.515765,3.930000,135.334920
0.707575,0.497530,3.880000,135.351365
0.709515,0.488145,3.860000,135.367902
0.706225,0.506825,3.865000,135.384271
0.710290,0.487700,3.905000,135.400666
0.708255,0.494150,3.915000,135.417187
0.701170,0.512755,3.890000,135.433445
0.735925,0.489645,3.920000,135.449944
0.733175,0.501480,3.915000,135.466258
0.683815,0.530370,3.900000,135.482766
0.664970,0.549970,3.965000,135.499132
0.664970,0.549970,3.945000,135.515570
0.562280,0.506280,4.020000,135.531941
0.537265,0.572880,4.225000,135.548489
0.537265,0.572880,3.985000,135.564867
0.570385,0.523660,3.925000,135.581337
0.568190,0.522155,3.950000,135.597904
0.568190,0.522155,4.010000,135.614197
0.549275,0.568835,3.985000,135.630612
0.545585,0.555635,4.000000,135.646990
0.544880,0.560575,4.000000,135.663442
0.516190,0.602460,3.950000,135.679840
0.537565,0.576335,4.005000,135.696284
0.537090,0.594405,3.990000,135.712788
0.457525,0.605345,4.060000,135.729363
0.406385,0.633695,4.160000,135.745637
