x,y,d,t
0.256415,0.270285,3.490000,134.325383
0.217910,0.210175,3.280000,134.341871
0.219210,0.214955,3.350000,134.358276
0.255845,0.234950,3.380000,134.374687
0.206680,0.232285,3.615000,134.391282
0.208330,0.237270,3.340000,134.407586
0.264970,0.275965,3.435000,134.423992
0.254270,0.264150,3.410000,134.440468
0.250880,0.252405,3.375000,134.456842
0.255670,0.282395,3.675000,134.473231
0.225110,0.204075,3.440000,134.489826
0.221640,0.192330,3.530000,134.506209
0.210030,0.269535,3.540000,134.522562
0.191100,0.281035,3.605000,134.538961
0.195740,0.294380,3.430000,134.555408
0.199435,0.276070,3.500000,134.571924
0.211175,0.244880,3.590000,134.588256
0.208690,0.237000,3.035000,134.604634
0.191555,0.267595,3.585000,134.621121
0.226580,0.282975,3.145000,134.637617
0.228205,0.288275,3.630000,134.653961
0.201985,0.298355,3.395000,134.670363
0.203460,0.291950,3.460000,134.686884
0.199655,0.280760,3.465000,134.703221
0.204250,0.288835,3.495000,134.719693
0.212745,0.254555,3.470000,134.736141
0.216305,0.265680,3.540000,134.752567
0.306045,0.683370,3.165000,134.768905
0.316145,0.707945,2.980000,134.949634
0.414515,1.710690,2.920000,134.966106
0.380080,1.685085,2.990000,134.982547
0.377545,1.688080,3.105000,134.999015
0.261695,1.679350,3.170000,135.015461
0.308640,1.677040,3.280000,135.031807
0.311915,1.674175,3.295000,135.048280
0.293515,1.683825,3.215000,135.064641
0.283835,1.709605,3.310000,135.081168
0.283835,1.709605,3.275000,135.097589
0.378120,1.650080,3.305000,135.113996
0.324100,1.689025,3.290000,135.130358
0.320950,1.692045,3.325000,135.146893
0.333580,1.667215,3.230000,135.163359
0.224240,1.739000,3.230000,135.179693
0.216910,1.744825,3.235000,135.196330
0.221755,1.740170,3.200000,135.212511
0.238915,1.770295,3.365000,135.228987
0.236555,1.772920,3.245000,135.245344
0.261355,1.739460,3.270000,135.261841
0.245410,1.729280,3.340000,135.278317
0.251730,1.724195,3.365000,135.294614
0.284490,1.728775,3.310000,135.311062
0.278405,1.714915,3.300000,135.327534
0.281980,1.711715,3.345000,135.343884
0.238620,1.676200,3.390000,135.360414
0.300115,1.662150,3.565000,135.376852
0.304270,1.658795,3.515000,135.393230
0.273915,1.698600,3.470000,135.409659
0.281440,1.687285,3.500000,135.426121
0.279740,1.688545,3.520000,135.442510
0.401415,1.725095,3.365000,135.458983
0.311165,1.703040,3.540000,135.475459
0.307855,1.706215,3.505000,135.491787
0.369315,1.712220,3.315000,135.508190
0.317210,1.691495,3.410000,135.524746
0.318800,1.690255,3.470000,135.541175
0.321875,1.713725,3.440000,135.557520
0.341935,1.671685,3.425000,135.573966
0.343420,1.669925,3.345000,135.590384
0.318900,1.705665,3.350000,135.606815
0.333690,1.724805,3.430000,135.623234
0.328300,1.730830,3.445000,135.639646
0.290275,1.711270,3.310000,135.656154
0.298475,1.717450,3.455000,135.672534
0.300235,1.715610,3.495000,135.688992
0.305705,1.724945,3.340000,135.705384
0.301290,1.747535,3.350000,135.721791
0.301965,1.746815,3.440000,135.738191
0.275930,1.703210,3.405000,135.754611
0.310575,1.714370,3.300000,135.771065
0.312215,1.712815,3.405000,135.787548
0.308220,1.650365,3.340000,135.804046
0.335830,1.741105,3.325000,135.820394
0.337925,1.737570,3.370000,135.836890
0.294920,0.893000,3.290000,135.853281
0.252790,0.514275,3.285000,135.869683
0.247525,0.499940,3.695000,135.886158
0.267745,0.300655,3.640000,135.902499
0.264990,0.267840,3.710000,135.918924
0.265635,0.270115,3.740000,135.935353
0.266495,0.239180,3.675000,135.951755
