x,y,d,t
0.429600,0.367395,3.190000,114.151506
0.406255,0.361055,3.235000,114.167898
0.407050,0.369580,3.205000,114.184326
0.407050,0.369580,3.160000,114.200802
0.407255,0.372510,3.230000,114.217170
0.419255,0.354180,3.315000,114.233687
0.420275,0.359580,3.290000,114.250048
0.431485,0.389575,3.305000,114.267435
0.433590,0.377140,3.265000,114.282970
0.434400,0.382880,3.240000,114.299338
0.444945,0.415580,3.220000,114.315739
0.446335,0.401890,3.300000,114.332176
0.445490,0.396740,3.195000,114.348651
0.444500,0.419225,3.300000,114.365149
0.451045,0.446165,3.320000,114.381492
0.451815,0.451320,3.385000,114.397978
0.422160,0.485585,3.125000,114.414367
0.441100,0.440185,3.260000,114.430713
0.439415,0.430175,3.235000,114.447228
0.422155,0.401760,3.335000,114.463729
0.445890,0.573015,3.325000,114.480041
0.445890,0.573015,2.985000,114.496542
0.437110,0.695985,3.055000,114.512917
0.442325,0.640195,3.005000,114.529346
0.442905,0.643915,2.960000,114.545859
0.421195,0.706330,3.015000,114.562244
0.437795,0.723695,3.095000,114.578655
0.438935,0.727235,2.920000,114.594993
0.441090,0.745815,2.985000,114.611524
0.468710,0.772580,2.920000,114.627867
0.467265,0.766060,2.990000,114.644349
0.408605,0.740285,3.065000,114.660824
0.452205,0.687845,3.030000,114.677223
0.453785,0.695135,3.030000,114.693795
0.405200,0.658830,3.055000,114.710048
0.400845,0.696520,2.995000,114.726496
0.398305,0.687645,3.035000,114.743003
0.405455,0.727075,3.145000,114.759288
0.387350,0.673385,3.065000,114.775768
0.386115,0.669865,3.150000,114.792279
0.379825,0.669070,2.980000,114.808617
0.389805,0.647810,3.060000,114.825051
0.394645,0.664920,3.045000,114.841517
0.417255,0.741020,3.145000,114.857846
0.400560,0.726090,3.080000,114.874393
0.401815,0.729625,3.135000,114.890776
0.394415,0.687615,3.130000,114.907202
0.414435,0.739550,3.210000,114.923679
0.409095,0.720125,3.140000,114.940015
0.390090,0.677895,3.055000,114.956486
0.402950,0.658540,3.120000,114.972871
0.399635,0.647210,3.205000,114.989368
0.389065,0.696965,3.160000,115.005842
0.372270,0.646085,3.240000,115.022207
0.376480,0.659580,3.105000,115.038565
0.415225,0.668050,2.950000,115.055042
0.404965,0.686215,3.130000,115.071420
0.405530,0.688905,3.075000,115.087924
0.401495,0.717520,3.075000,115.104337
0.454885,0.604250,3.185000,115.120751
0.457380,0.618510,3.460000,115.137155
0.480875,0.336670,3.340000,115.153731
0.497150,0.382435,3.420000,115.170051
0.495895,0.370040,3.475000,115.186472
0.496240,0.336405,3.585000,115.202889
0.503435,0.271530,3.445000,115.219362
0.502580,0.258940,3.430000,115.235777
0.484945,0.308190,3.455000,115.252148
0.481040,0.293895,3.420000,115.268672
0.484440,0.324670,3.410000,115.285020
0.485750,0.357550,3.395000,115.301495
0.501630,0.374005,3.440000,115.317881
0.500485,0.362900,3.445000,115.334303
0.502260,0.371950,3.430000,115.350826
0.462130,0.313685,3.520000,115.367130
0.460650,0.302385,3.555000,115.383591
0.480280,0.274330,3.500000,115.400016
0.459285,0.286430,3.480000,115.416490
0.460770,0.297895,3.520000,115.432869
0.501905,0.324295,3.480000,115.449312
0.515580,0.336245,3.495000,115.465772
0.515580,0.336245,3.555000,115.482156
0.464325,0.327535,3.445000,115.498622
0.471475,0.331405,3.580000,115.515073
0.468415,0.306945,3.505000,115.531472
0.484880,0.285465,3.490000,115.547911
0.479705,0.234740,3.620000,115.564338
0.477330,0.214365,3.465000,115.580741
0.698995,0.174675,3.605000,115.597294
0.680200,0.170395,3.385000,115.613637
0.680200,0.170395,3.625000,115.629984
0.695740,0.125375,3.605000,115.646466
0.709910,0.139755,3.610000,115.662997
0.709610,0.147450,3.600000,115.679376
0.699435,0.140420,3.555000,115.695845
0.670640,0.193935,3.660000,115.712147
0.669495,0.226050,3.650000,115.728541
0.675795,0.300685,3.690000,115.744994
0.680535,0.482790,3.705000,115.761488
0.678620,0.514915,3.450000,115.777926
0.649745,0.779715,3.355000,115.794287
0.632670,0.787610,3.370000,115.810847
0.632905,0.773100,3.270000,115.827202
0.617710,0.730200,3.280000,115.843639
0.619730,0.671825,3.165000,115.860080
0.619770,0.652155,3.270000,115.876524
0.602495,0.679005,3.180000,115.892915
0.611695,0.773605,3.250000,115.909288
0.611740,0.781250,3.300000,115.925742
0.602115,0.754385,3.290000,115.942152
0.624520,0.736635,3.305000,115.958578
0.624520,0.736635,3.280000,115.975038
0.613465,0.784785,3.335000,115.991511
0.625560,0.773340,3.370000,116.007842
0.625560,0.773340,3.355000,116.024337
0.644070,0.715930,3.360000,116.040720
0.634670,0.741310,3.375000,116.057152
0.634320,0.751710,3.445000,116.073567
0.645185,0.780990,3.485000,116.090001
0.633745,0.807865,3.440000,116.106466
0.633660,0.811150,3.435000,116.122845
0.634385,0.776315,3.375000,116.139287
0.611755,0.680795,3.335000,116.155752
0.611655,0.665480,3.460000,116.172166
0.614640,0.526355,3.330000,116.188568
0.615760,0.552680,3.420000,116.205001
0.615760,0.552680,3.425000,116.221419
0.601270,0.543750,3.495000,116.237915
0.643790,0.559930,3.485000,116.254287
0.643535,0.568675,3.605000,116.270818
0.635465,0.589545,3.480000,116.287114
0.631925,0.591040,3.515000,116.303596
0.632085,0.580620,3.575000,116.320050
0.611165,0.604065,3.535000,116.336521
0.618595,0.660760,3.530000,116.352922
0.618525,0.656855,3.540000,116.369273
0.640545,0.657080,3.415000,116.385716
0.622855,0.590800,3.530000,116.402245
0.622950,0.595255,3.560000,116.418563
0.592555,0.610050,3.650000,116.435014
0.400585,0.666675,3.840000,116.451572
0.398570,0.659360,3.575000,116.467870
0.416740,0.654970,3.620000,116.484380
0.410375,0.715645,3.590000,116.500670
0.414665,0.730805,3.610000,116.517121
0.397685,0.669310,3.570000,116.533613
0.395140,0.712360,3.665000,116.550080
0.396080,0.715900,3.675000,116.566468
0.438960,0.746505,3.690000,116.582875
0.413150,0.738255,3.745000,116.599337
0.409805,0.726365,3.705000,116.615748
0.393325,0.653900,3.565000,116.632153
0.394575,0.671285,3.685000,116.648569
