subj,exp_id,ses_id,stim,timestamp,x,y,duration,sacc_amplitude,sacc_dur
P01,1,1,tsa01,0.049342,1073.093486,852.772886,0.344928,511.947391,0.032795
P01,1,1,tsa01,0.427065,1149.204800,346.514850,0.591352,766.001642,0.065903
P01,1,1,tsa01,1.084320,420.534171,110.299629,0.229844,879.211539,0.082104
P01,1,1,tsa01,1.396268,931.621895,825.703200,0.312224,650.083695,0.065752
P01,1,1,tsa01,1.774244,923.046109,175.676073,0.542001,774.569108,0.082139
P01,1,1,tsa01,2.398384,730.877785,926.028415,0.640735,378.184448,0.065678
P01,1,1,tsa01,3.104797,1035.075987,701.335446,3.220037,332.499727,0.016308
P01,1,1,tsa01,6.341142,1209.303890,418.138153,1.905740,91.630484,0.016475
P01,1,1,tsa01,8.263357,1231.116655,507.134495,0.722746,499.167559,0.032943
P01,1,1,tsa01,9.019046,912.377891,891.287918,0.361458,273.246003,0.016375
P01,1,1,tsa01,9.396879,714.764308,1080.000000,0.427084,0.000000,0.016375
P01,1,1,tsa02,0.032875,567.660218,593.371145,0.180701,264.200433,0.016501
P01,1,1,tsa02,0.230077,509.431800,335.667206,0.525797,518.318008,0.016320
P01,1,1,tsa02,0.772194,699.614080,817.833420,0.492816,586.166401,0.082149
P01,1,1,tsa02,1.347159,459.196800,283.239573,0.361410,1094.175519,0.098531
P01,1,1,tsa02,1.807100,1442.951855,762.244855,0.542112,916.938800,0.082244
P01,1,1,tsa02,2.431456,582.830682,1080.000000,0.558509,676.797917,0.065711
P01,1,1,tsa02,3.055676,532.103040,405.105840,0.082180,0.000000,0.065711
P01,1,1,tsa03,0.049249,837.560533,608.699400,0.443603,323.734210,0.032997
P01,1,1,tsa03,0.525849,1146.336000,705.969900,0.098509,672.113928,0.065794
P01,1,1,tsa03,0.690152,475.098831,740.288908,0.213376,460.900886,0.016441
P01,1,1,tsa03,0.919969,786.588800,1080.000000,0.591413,0.000000,0.016441
P01,1,1,tsq01,0.032870,878.186425,160.036070,1.593535,178.410801,0.049318
P01,1,1,tsq01,1.675723,1000.134400,290.263200,0.147771,395.761080,0.065790
P01,1,1,tsq01,1.889284,758.461404,603.665491,0.870672,200.117306,0.032985
P01,1,1,tsq01,2.792941,732.138353,802.044000,0.837719,707.798665,0.065661
P01,1,1,tsq01,3.696321,1438.932096,839.747520,0.410806,419.336477,0.016399
P01,1,1,tsq01,4.123526,1502.897600,425.318400,0.295757,597.922992,0.016317
P01,1,1,tsq01,4.435600,931.430954,601.209779,1.708522,252.908184,0.082267
P01,1,1,tsq01,6.226389,1128.405656,759.839902,0.706304,669.744917,0.065774
P01,1,1,tsq01,6.998467,511.161290,499.902126,1.018638,376.898404,0.016251
P01,1,1,tsq01,8.033356,860.953149,640.251913,1.166571,232.754925,0.032871
P01,1,1,tsq01,9.232798,1081.980960,713.200950,0.328453,467.538198,0.032953
