trial_id,fix,ques,answ,cor,nasa_ques,nasa_tre,calib_loop.thisRepN,calib_loop.thisTrialN,calib_loop.thisN,calib_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,nasa_trials.thisRepN,nasa_trials.thisTrialN,nasa_trials.thisN,nasa_trials.thisIndex,valid_keybrd.started,calib_resp.started,calib_resp.keys,calib_resp.rt,title_resp.keys,title_resp.rt,text.started,key_resp.keys,key_resp.rt,img_ques.started,key_resp_2.keys,key_resp_2.rt,key_resp_ans.keys,key_resp_ans.corr,key_resp_ans.rt,nasa_slider.response,end_img.started,key_resp_3.started,end_img.stopped,key_resp_3.keys,key_resp_3.rt,participant,gender,profession,session,date,expName,psychopyVersion,frameRate,
,,,,,,,0,0,0,0,,,,,,,,,52.794372200005455,77.23128259999794,['n'],[2.8225804999965476],,,,,,,,,,,,,,,,,,P7,female,phd,001,2023-01-12_16h13.31.560,eth_ws_team_p04,2022.2.5,143.85963905052827,
,,,,,,,,,,,,,,,,,,,,,,,space,3.637010199992801,,,,,,,,,,,,,,,,P7,female,phd,001,2023-01-12_16h13.31.560,eth_ws_team_p04,2022.2.5,143.85963905052827,
,,,,,,,,,,,,,,,,,,,,,,,,,83.71764000000258,space,9.67605700000422,,,,,,,,,,,,,P7,female,phd,001,2023-01-12_16h13.31.560,eth_ws_team_p04,2022.2.5,143.85963905052827,
ts03,tsf03.jpeg,tsq03.jpeg,tsa03.jpeg,b,,,,,,,0,0,0,2,,,,,,,,,,,,,,94.40282909999951,space,14.657293099997332,b,1,10.996014699994703,,,,,,,P7,female,phd,001,2023-01-12_16h13.31.560,eth_ws_team_p04,2022.2.5,143.85963905052827,
ts02,tsf02.jpeg,tsq02.jpeg,tsa02.jpeg,b,,,,,,,0,1,1,1,,,,,,,,,,,,,,121.56939550000243,space,2.997601000010036,c,0,1.5627523000002839,,,,,,,P7,female,phd,001,2023-01-12_16h13.31.560,eth_ws_team_p04,2022.2.5,143.85963905052827,
ts01,tsf01.jpeg,tsq01.jpeg,tsa01.jpeg,c,,,,,,,0,2,2,0,,,,,,,,,,,,,,127.6434908999945,space,4.336777000004076,b,0,3.229584900007467,,,,,,,P7,female,phd,001,2023-01-12_16h13.31.560,eth_ws_team_p04,2022.2.5,143.85963905052827,
,,,,,::: TEMPORAL DEMAND :::,Were you hurried or rushed to pace of the task?,,,,,,,,,0,0,0,2,,,,,,,,,,,,,,,,1.0,,,,,,P7,female,phd,001,2023-01-12_16h13.31.560,eth_ws_team_p04,2022.2.5,143.85963905052827,
,,,,,::: MENTAL DEMAND :::,Was the task mentally demanding?,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,1.0,,,,,,P7,female,phd,001,2023-01-12_16h13.31.560,eth_ws_team_p04,2022.2.5,143.85963905052827,
,,,,,::: EFFORT :::,Did you have to work hard to accomplish your level of performance?,,,,,,,,,0,2,2,4,,,,,,,,,,,,,,,,1.0,,,,,,P7,female,phd,001,2023-01-12_16h13.31.560,eth_ws_team_p04,2022.2.5,143.85963905052827,
,,,,,::: PHYSICAL DEMAND :::,Was the task physically demanding?,,,,,,,,,0,3,3,1,,,,,,,,,,,,,,,,3.0,,,,,,P7,female,phd,001,2023-01-12_16h13.31.560,eth_ws_team_p04,2022.2.5,143.85963905052827,
,,,,,::: FRUSTRATION :::,"Were you insecure, discouraged, irritated, stressed, and annoyed?",,,,,,,,,0,4,4,5,,,,,,,,,,,,,,,,1.0,,,,,,P7,female,phd,001,2023-01-12_16h13.31.560,eth_ws_team_p04,2022.2.5,143.85963905052827,
,,,,,::: PERFORMANCE :::,Were you successful in accomplishing what you were asked to do?,,,,,,,,,0,5,5,3,,,,,,,,,,,,,,,,20.0,,,,,,P7,female,phd,001,2023-01-12_16h13.31.560,eth_ws_team_p04,2022.2.5,143.85963905052827,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.30257610000263,159.30257610000263,164.30746149999322,space,6.1330007999931695,P7,female,phd,001,2023-01-12_16h13.31.560,eth_ws_team_p04,2022.2.5,143.85963905052827,
