trial_id,fix,ques,answ,cor,nasa_ques,nasa_tre,calib_loop.thisRepN,calib_loop.thisTrialN,calib_loop.thisN,calib_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,nasa_trials.thisRepN,nasa_trials.thisTrialN,nasa_trials.thisN,nasa_trials.thisIndex,valid_keybrd.started,calib_resp.started,calib_resp.keys,calib_resp.rt,title_resp.keys,title_resp.rt,text.started,key_resp.keys,key_resp.rt,img_ques.started,key_resp_2.keys,key_resp_2.rt,key_resp_ans.keys,key_resp_ans.corr,key_resp_ans.rt,nasa_slider.response,end_img.started,key_resp_3.started,end_img.stopped,key_resp_3.keys,key_resp_3.rt,participant,gender,profession,session,date,expName,psychopyVersion,frameRate,
,,,,,,,0,0,0,0,,,,,,,,,68.49606370000402,91.68799960000615,['n'],[7.997620100009954],,,,,,,,,,,,,,,,,,p08,FEMALE,PHD,001,2023-01-12_16h35.45.570,eth_ws_team_p04,2022.2.5,144.13770339443872,
,,,,,,,,,,,,,,,,,,,,,,,space,5.679894700006116,,,,,,,,,,,,,,,,p08,FEMALE,PHD,001,2023-01-12_16h35.45.570,eth_ws_team_p04,2022.2.5,144.13770339443872,
,,,,,,,,,,,,,,,,,,,,,,,,,105.39131160000397,space,7.737883900001179,,,,,,,,,,,,,p08,FEMALE,PHD,001,2023-01-12_16h35.45.570,eth_ws_team_p04,2022.2.5,144.13770339443872,
ts01,tsf01.jpeg,tsq01.jpeg,tsa01.jpeg,c,,,,,,,0,0,0,0,,,,,,,,,,,,,,114.13732470000105,space,7.964246199990157,c,1,5.696752500007278,,,,,,,p08,FEMALE,PHD,001,2023-01-12_16h35.45.570,eth_ws_team_p04,2022.2.5,144.13770339443872,
ts02,tsf02.jpeg,tsq02.jpeg,tsa02.jpeg,b,,,,,,,0,1,1,1,,,,,,,,,,,,,,129.31404620000103,space,4.48485979999532,c,0,1.6464857999962987,,,,,,,p08,FEMALE,PHD,001,2023-01-12_16h35.45.570,eth_ws_team_p04,2022.2.5,144.13770339443872,
ts03,tsf03.jpeg,tsq03.jpeg,tsa03.jpeg,b,,,,,,,0,2,2,2,,,,,,,,,,,,,,136.96154980000574,space,5.607016299996758,b,1,1.1802662999980384,,,,,,,p08,FEMALE,PHD,001,2023-01-12_16h35.45.570,eth_ws_team_p04,2022.2.5,144.13770339443872,
,,,,,::: TEMPORAL DEMAND :::,Were you hurried or rushed to pace of the task?,,,,,,,,,0,0,0,2,,,,,,,,,,,,,,,,8.0,,,,,,p08,FEMALE,PHD,001,2023-01-12_16h35.45.570,eth_ws_team_p04,2022.2.5,144.13770339443872,
,,,,,::: PERFORMANCE :::,Were you successful in accomplishing what you were asked to do?,,,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,5.0,,,,,,p08,FEMALE,PHD,001,2023-01-12_16h35.45.570,eth_ws_team_p04,2022.2.5,144.13770339443872,
,,,,,::: EFFORT :::,Did you have to work hard to accomplish your level of performance?,,,,,,,,,0,2,2,4,,,,,,,,,,,,,,,,13.0,,,,,,p08,FEMALE,PHD,001,2023-01-12_16h35.45.570,eth_ws_team_p04,2022.2.5,144.13770339443872,
,,,,,::: MENTAL DEMAND :::,Was the task mentally demanding?,,,,,,,,,0,3,3,0,,,,,,,,,,,,,,,,15.0,,,,,,p08,FEMALE,PHD,001,2023-01-12_16h35.45.570,eth_ws_team_p04,2022.2.5,144.13770339443872,
,,,,,::: FRUSTRATION :::,"Were you insecure, discouraged, irritated, stressed, and annoyed?",,,,,,,,,0,4,4,5,,,,,,,,,,,,,,,,5.0,,,,,,p08,FEMALE,PHD,001,2023-01-12_16h35.45.570,eth_ws_team_p04,2022.2.5,144.13770339443872,
,,,,,::: PHYSICAL DEMAND :::,Was the task physically demanding?,,,,,,,,,0,5,5,1,,,,,,,,,,,,,,,,5.0,,,,,,p08,FEMALE,PHD,001,2023-01-12_16h35.45.570,eth_ws_team_p04,2022.2.5,144.13770339443872,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.4086718000035,164.4086718000035,169.410818999997,space,20.915141599994968,p08,FEMALE,PHD,001,2023-01-12_16h35.45.570,eth_ws_team_p04,2022.2.5,144.13770339443872,
